lag_time,msd_mean,msd_std,alpha_exponent
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-01,1.663215e-03,1.648134e-03,2.012487e+00
2.000000e-01,6.710690e-03,5.859924e-03,1.909875e+00
3.000000e-01,1.420724e-02,9.931622e-03,1.749548e+00
4.000000e-01,2.302527e-02,1.374049e-02,1.678383e+00
